rownames(X)	SAMN06110107	SAMN06110457	SAMN06110421	SAMN06110308	SAMN06110270	SAMN06110180	SAMN06110332	SAMN06110091	SAMN06110222	SAMN06110311	SAMN06110441	SAMN06110249	SAMN06110326	SAMN06110167	SAMN06110252	SAMN06110427	SAMN06110345	SAMN06110043	SAMN06110384	SAMN06110061	SAMN06110182	SAMN06110240	SAMN06110205	SAMN06110279	SAMN06110216	SAMN06110121	SAMN06110412	SAMN06110029	SAMN06110299	SAMN06110381	SAMN06110269	SAMN06110256	SAMN06110203	SAMN06110195	SAMN06110221	SAMN06110290	SAMN06110083	SAMN06110128	SAMN06110237	SAMN06110211	SAMN06110330	SAMN06110312	SAMN06110281	SAMN06110034	SAMN06110353	SAMN06110022	SAMN06110052	SAMN06110048	SAMN06110433	SAMN06110184	SAMN06110135	SAMN06110329	SAMN06110018	SAMN06110246	SAMN06110172	SAMN06110368	SAMN06110239	SAMN06110095	SAMN06110297	SAMN06110407	SAMN06110002	SAMN06110141	SAMN06110372	SAMN06110320	SAMN06110070	SAMN06110051	SAMN06110223	SAMN06110417	SAMN06110115	SAMN06110186	SAMN06110026	SAMN06110187	SAMN06110414	SAMN06110082	SAMN06110366	SAMN06110331	SAMN06110072	SAMN06110125	SAMN06110344	SAMN06110144	SAMN06110271	SAMN06110157	SAMN06110293	SAMN06110214	SAMN06110264	SAMN06110163	SAMN06110025	SAMN06110233	SAMN06110257	SAMN06110103	SAMN06110057	SAMN06110032	SAMN33693026	SAMN33693400	SAMN33693294	SAMN33692934	SAMN33693119	SAMN33692978	SAMN33693321	SAMN33692982	SAMN33693364	SAMN33692902	SAMN33693309	SAMN33693223	SAMN33693381	SAMN33692932	SAMN33693273	SAMN33693266	SAMN33693238	SAMN33693022	SAMN33693323	SAMN33693409	SAMN33693014	SAMN33693065	SAMN33693382	SAMN33693075	SAMN33693076	SAMN33693010	SAMN33693378	SAMN33693195	SAMN33693336	SAMN33693044	SAMN33693141	SAMN33693306	SAMN33693412	SAMN33693353	SAMN33692900	SAMN33692957	SAMN33693367	SAMN33693198	SAMN33693385	SAMN33693355	SAMN33692901	SAMN33693416	SAMN33693138	SAMN33693155	SAMN33693157	SAMN33693069	SAMN33693275	SAMN33693061	SAMN33693239	SAMN33693053	SAMN33693021	SAMN33693303	SAMN33693319	SAMN33693042	SAMN33692923	SAMN33692999	SAMN33693348	SAMN33693386	SAMN33693329	SAMN33693270	SAMN33692914	SAMN33693178	SAMN33693245	SAMN33693271	SAMN33693233	SAMN33693403	SAMN33693193	SAMN33693083	SAMN33693318	SAMN33693316	SAMN33692918	SAMN33693150	SAMN33693259	SAMN33693034	SAMN33693240	SAMN33693201	SAMN33693106	SAMN33693051	SAMN33692940	SAMN33692949	SAMN33692988	SAMN33693302	SAMN33693398	SAMN33693359	SAMN33693030	SAMN33693304	SAMN33693369	SAMN33693183	SAMN33693339	SAMN33693149	SAMN33693379	SAMN33693237
msp_0001;Eukaryota;Heterokonta;Blastocystae;Blastocystida;Blastocystidae;Blastocystis;Blastocystis sp. subtype 3	0	0	0.000168084668638	0	0	0	0	0	0	0	0	0	0	0	0	0.0001976916097469	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0002639177811232	0	0	0	0	0	0	0	0.0003667155553137	0	0	0	0	0	0	0.0001617234891699	0	0.00148169836732	0	0	0	0	0	0	0	0.0012779188080378	0	0	0	0	0	0	0	0	0	0	0.0001837651403914	0	0	0	0	0	0	0	0	0.0001814963874672	0	0	0	0	0	0	0	0	0	0	0	0	0.0004106629443664	0	0	0	0	0	0	0	0	0	0.0001909654998684	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0006320076972508	0	0	0.0004945578001514	0.0053480190117293	0	0	0.0005821735064457	0	0	0	0	0	0.0065042674200776	0	0	0	0	0	0	0	0	0	0	0	0.0025594975708559	0	0.0002057688823772	0	0	0	0	0	0	0	0	0	0	0	0.0001996525563355	0	0	0	0	0.0013146250130817	0	0	0	0	0	0	0.0012400801532043	0	0	0.0001388390196935	0.0002028729161259	0	0	0	0	0.0018534690980239	0	0	0	0
msp_0002;Eukaryota;Heterokonta;Blastocystae;Blastocystida;Blastocystidae;Blastocystis;Blastocystis sp. subtype 1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0044717322315497	0	0	0	0.0024957706864896	0	0	0	0	0	0.0006587502629808	0	0	0	0	0.0012217628647539	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001897586472135	0	0	0	0	0	0	0	0	0	0	0	0.0018038672060684	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0007662206993448	0	0	0	0.0282804330558716	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0030430720988922	0	0	0	0	0	0	0	0	0	0	0	0	0.001411551924545	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0145277781466072	0	0	0.0117348221759093	0	0	0	0.0201401373231848	0	0	0	0	0	0	0.0004630734142985	0	0	0	0	0	0	0	0	0	0	0	0	0.0088083530240217	0	0	0	0	0	0	0	0	0	0	0	0	0	0
msp_0003;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides cellulosilyticus	0	0.0003288969691792	0	0	0.0004036111009522	0	0	0	0	0.0094194141540056	0	0	0.0001969431061526	0	0	0.0003961220734146	0.0002277925336681	0.000268960792565	0	0	0.0029007593913654	0	0	0	0	0.0012790232128887	0.0002241778406334	0.0005203958618997	0.0024333695741402	0	0	0	0	0	0	0.0006963158333871	0.0002191631720332	0	0	0.0018158031356712	0	0.0003333714739972	0.0008948413930105	0.0013072698548038	0	0.0003224221065958	0.0221468716629378	0	0	0	0	0	0.0003137390669795	0.0004515312507549	0	0	0.0009985695294487	0.0078842253197455	0.0039099714246385	0	0	0	0	0	0	0.0082844964011028	0	0	0.0030573502690808	0	0.0034398793344469	0.0002390775865476	0.0001792525093391	0.0002948779930298	0.00059233302054	0.0140609184925479	0	0	0	0.0014467243049271	0.02907543748626	0	0.0004802147877884	0	0.0079177804335864	0	0	0.0004230535317518	0.0004206648064077	0	0	0.0018904276735578	0.0004724335599337	0	0	0	0.0003910193876218	0	0	0.0002019117083043	0.001435078358007	0	0.0187378453091016	0.0001943217552756	0	0	0.0002733247281841	0.0564981672140358	0.0139554390519601	0	0	0.0002166951353948	0.002738703949195	0.0076117610498967	0	0	0	0.0058938850331809	0	0	0	0	0.0010682214800142	0.0006652331097315	0.0005434856307231	0	0.0078689457326078	0	0	0.0006066039312774	0.0003436065630108	0	0.0284115349945051	0	0	0	0.0024772124836281	0	0.0012963797180382	0	0	0.0001201211777459	0.000124865272642	0	0	0	0.0007525697724649	0	0	0	0.0024007310770283	0.0201208029025105	0	0	0.002757087999992	0.0353504210020548	0.0007166131174582	0	0	0	0	0	0	0.0010332328918464	0.0006795704838159	0.0003076718713485	0.0006866504273959	0	0.0024004931184387	0.0003656087067774	0	0	0	0	0.000308495650819	0	0.0002676718156511	0	0.0001649300185554	0	0	0.0001907556681015	0	0
msp_0004;Eukaryota;Heterokonta;Blastocystae;Blastocystida;Blastocystidae;Blastocystis;Blastocystis sp. subtype 2	0	0	0	0	0	0	0	0	0	0	0.0006282729390136	0	0.0008373582406337	0	0	0	0	0	0	0.0005825996739491	0	0	0	0	0	0	0	0	0.0008389124669051	0	0	0	0	0	0	0	0	0	0	0.0004778522171536	0	0.000834555288983	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0006232268859173	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0004721477597535	0	0	0	0.0048605362529068	0	0	0	0	0	0.0005106294980113	0.0006127812670042	0	0	0	0	0.0059418813040704	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0009528026065031	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0027003114679364	0	0	0	0.0009517245426057	0	0	0	0	0	0	0	0	0	0	0	0.0004343243459148	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
msp_0005;Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia;Escherichia coli	0.000297504872871	0	0.0002825624683275	0.000265862249725	0	0	0.0007671418890564	0.0003482413479689	0	0.0003016348926966	0.0011973386359397	0.0034821782896122	0.0002225661825083	0.0002216645044049	0.0002249366892161	0	0.0005046335811693	0.0007280777137851	0	0.0010107054766871	0.000273454464242	0.0003476030757405	0.000894401515069	0	0.0002211840179436	0.0002809513120628	0.0005723332203382	0.0002329969452901	0.0024124792605591	0.0004945149156676	0.0042089654576461	0.000257413749147	0.001768305544409	0	0.0185338995348498	0.0002215681481909	0.0003476403402887	0.0002377354082875	0	0	0.000216870003268	0.0003183001763252	0.0005572952466226	0	0.0002288117401589	0.004056420484182	0	0.0011138432917243	0.0006285007324592	0.0007877158878389	0.000435822920086	0.0009461782274594	0.0003413756413343	0.0003236104944216	0.0007282295415098	0.0003428787445654	0.0005085752569076	0.0002993267007682	0	0.0013204157891434	0.0002359498037013	0.0003899198298397	0	0.0002416245214595	0	0.0004733632965304	0	0	0.0002727247651737	0.0008635774947619	0.0016114889428809	0.0047678657172947	0.0001760606333338	0.0002362449944596	0	0	0	0.0002962157395137	0.0019566617287485	0.0027049266251097	0.0004085017367984	0.0003211846700886	0.0005345417288902	0.0003402988594129	0	0.0005657376732406	0.0004476998067973	0.0019296633868267	0.0001801097417975	0.0002811593881706	0.0151789255663168	0.0003649832810311	0.0003679690513511	0.0139200619655409	0.0005502156809257	0	0.0007589360299945	0.000211384142002	0.0002041865540591	0	0.0001333944510567	0.0744008759077827	0	0.0001946281412183	0.000188146034707	0.0002412425119181	0.0003857080585322	0.0009434666190551	0	0	0.0005160362493736	0.0002833028552568	0.0007364796443897	0.0003135326859637	0	0	0.0002222171075889	0.0030938033033616	0.0226443821028745	0.0004249272773084	0	0.000283035853055	0.0001830258399635	0.0021771981644517	0	0.0038585017674792	0.0026157908576202	0.0004212704637452	0.0002411980635403	0.0022226206415591	0.0006620055327141	0.0023447131894557	0	0.0002047921869434	0.001132763199853	0	0.0015157575372652	0.0001836990980901	0.0001898496672363	0.0016797623100668	0.0004387621872087	0.0005881586838584	0.0007942950661902	0.0003528828509374	0.0014335858832793	0.0003568435822424	0.0012010422992014	0.0025505239790905	0.0019038823020399	0.0003614976852791	0.000384028308352	0	0.000490840887477	0.0005353394852376	0.0022550554777409	0.0004382908311714	0.0006267393746528	0.0002732404913979	0.0002164176535679	0.0001798508908501	0.0061629397926654	0.0024313810106055	0.0003007866346277	0	0.0008448961149192	0.0002442277662165	0	0.0081612385251364	0.0001580167130459	0	0.0002447436810588	0.000666670565799	0.0003448300527563	0.0003427369711534	0.0009451720169121	0.0005115009457558	0.0002144492927842	0	0.0001971851495411	0.0003846767546708	0.000241614570726	0	0.0002459246811682	0.0074897406185896
msp_0006;Eukaryota;Heterokonta;Blastocystae;Blastocystida;Blastocystidae;Blastocystis;Blastocystis sp. subtype 4	0	0	0	0	0	0	0	0	0.0046372257140157	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0014832466336025	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0003987798922199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0001936724226638	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0015224987683718	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0082900255460075	0
msp_0007;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides ovatus	0.0066583402253208	0.0007429837763284	0.0031546660124331	0.0145212776577066	0	0.0019256252906772	0.0009252931119334	0.0025154599485374	0.0062975772738467	0.0031797922633019	0	0.0011716436579873	0.0001952073942488	0.0077458547729227	0	0.0027434355014431	0.0136690933370515	0.0004863197711803	0.0019088442753166	0.0027602503587961	0.0140587862258727	0.0003660413279032	0.0003171949849102	0	0.0023753827997706	0.0085517893331097	0.001091609734684	0.0006874204786405	0.0019389038137814	0.0021201013484052	0.0121855011400931	0.0244207067012962	0	0.0019848451953074	0.0036789932273197	0.00280440241304	0.001391124457537	0.0016167091413376	0	0.001387775617328	0.0062665259072462	0.0026365065342672	0.0112421906158984	0.0014546783725563	0.0004507596138274	0.0032286626317142	0.0616935690370002	0.0164472059759744	0.001391601333301	0	0.0110388002023961	0.000540521113612	0.0006193276859471	0.006358411414099	0.001957330431579	0.0016088258021146	0	0.0071100545433536	0.004774827225935	0.001357277332253	0.0052011347993439	0.0012083198067956	0.0039690572752702	0.0041903533171602	0.0005254956630407	0.0070170544687024	0.0009395144769755	0.0134855576213682	0.0005277721950273	0.0007749168436842	0.0064423854201688	0.0053184508684696	0.0004661648794137	0.0004493982330929	0.0022249049477317	0.0021892992134424	0.000773341064154	0.001687927889324	0.0010784551027386	0.0009359493530999	0.0031084401953294	0.0154110416825211	0.0003983462102479	0.0061588006050629	0.0062320036409799	0.0195888841664546	0.0026900098130045	0.0051418314786182	0.0026280793422729	0.0042214012655039	0.0011298704931989	0.0034583622040036	0.0008587304895139	0.0007570433526223	0.0002715506209654	0.0003419312689964	0.0227136683253442	0.0031570537497856	0.0010210674207169	0.0002942935658109	0.0012442422067177	0.0009351124686512	0.002428567095667	0.001227794135409	0	0.0007531420391823	0.0059076100328798	0.0043046401941972	0.0097337074223022	0.0067641414671882	0	0.0359762180550635	0.0046891936278993	0.0177298412988047	0.0009254560121387	0.0002009758252781	0.0039355298151487	0.0120862869545423	0.0008782939746146	0.0022559021201402	0.0028334742133461	0.0035221588038166	0.0015572324586041	0.0049369556728675	0.0031523929542635	0	0.0072367148413795	0.215466603627333	0.0099982820296759	0.0010315997801544	0	0.000503887819767	0.0792464952848754	0.0034140340335895	0	0.0830246354569463	0.0014165643314607	0.018291063037642	0.0064559338806313	0.0043747015588772	0.0002058789953874	0.0003589889614858	0.0004358653642118	0.0064931720383919	0.003374057279612	0.0007727767082626	0.0091206271910859	0.0096961691975946	0.0003277959806579	0.0002145656031883	0.0177077867658143	0.0217436395544381	0.0005067574560472	0.0034464343525916	0.027670919046654	0.0091513043660546	0.0004987227909999	0	0.0001769943673955	0.0012178138324669	0.0143645408114411	0.0010237981072265	0.02109910612943	0.0051610411872673	0.0004648054651537	0.0007621717324985	0.000238025666736	0.0297759183746294	0.0004971604050568	0.0032003039458946	0.0022346211910722	0.0570517628908374	0.0049763775216697	0.0005400544942009	0.0061681173181409	0.0490671393684421	0.0002627371604993	0.0021595904933615	0.0080392858359967	0.0052071689226442	0.0058080619420867	0.0053174228384565	0.0203285052681326	0.0133102578432014
msp_0008;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides intestinalis	0	0.0002515479831051	0.0003802241482743	0	0.000461170553449	0.0091553242971796	0.004016348970445	0.0022050962471666	0.0056706008664321	0	0	0	0	0	0	0	0	0	0.009101359485805	0	0	0	0	0	0.0002387329782319	0	0	0	0	0	0.0055593877361538	0	0	0.0002755289538868	0	0	0.0002224213621757	0	0.0092019830855124	0	0	0.0004936330082819	0	0.0008492409808983	0.0007591867506563	0	0	0	0	0	0	0	0	0	0.0035783355844682	0	0	0	0	0	0	0	0	0	0.0008385461042299	0.0003589456883303	0	0	0.0002285160555313	0	0	0.0008297263273167	0	0.0001851853530105	0.0005840831454544	0	0	0.0002842866284331	0	0.0115990690582278	0	0	0	0.0063278123984373	0	0	0	0	0	0	0.0002771591503739	0	0.0002214211974489	0	0	0.0003771359520996	0	0	0	0.0001087648864856	0	0.0002197552366592	0	0.0001727605708761	0.0138077665208244	0	0.0005988336005712	0	0	0.0183767091309748	0	0	0	0	0	0	0.0045185142172566	0	0	0	0.0103754542943033	0.0003419733251661	0.0004325141579348	0	0	0	0.0002315177434853	0	0.0093891837495501	0	0	0	0	0	0	0	0.0191645282573374	0	0	0	0.0001549132374083	0	0.0001237497109502	0	0.0048562154770128	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0003748773566769	0	0.0026420887461606	0.003422721713782	0	0	0	0	0.0005880712802304	0	0.0002081995493406	0	0	0	0	0	0	0	0	0	0.0002619932648784	0.0004944612225109	0.0007926126694972	0	0.0144631619410019	0.0034918566621928
msp_0009;Bacteria;Bacillota_A;Clostridia;Lachnospirales;Lachnospiraceae;Enterocloster;Enterocloster bolteae	0.0003587741762051	0	0	0	0	0	0	0	0	0.0002799282644179	0	0	0	0.0003884060394463	0	0	0.0003411905395774	0	0.0002721622894495	0.0002525251016228	0.0050048757697911	0	0.0002939377446734	0	0.0002219093413808	0	0	0	0.0002300064566098	0.0003969502544765	0	0.0002875826505585	0	0.0003765793499644	0	0.0004163481995271	0	0	0.0003005529866034	0	0.0002677644912015	0	0	0	0	0	0.0005222532114184	0.0003156638891236	0.0004950895402934	0.0003425771298649	0	0.0002690276505789	0	0	0	0.0002973437886086	0.0002706331193827	0	0	0	0	0	0.0003500109533877	0.0002282548089007	0	0.0003413402718162	0	0.0003470993560024	0.0002352391921222	0.0002938790457893	0	0	0	0.00040141287578	0	0.0003976306105464	0	0	0.0003263185659895	0	0.0002492083453113	0.0007365304869682	0	0.0002988848101119	0.0003530585537369	0	0	0	0.0003357593369578	0	0	0.0003810828640379	0.0003517514626274	0	0	0	0.0003439769187153	0.0001799868020421	0	0	0	0	0.0001865726774706	0	0.0002975158215202	0	0	0	0.0002688267511683	0.0003136696814583	0.0002198416484822	0.0002163733549536	0.0002969182036487	0	0.000170080858906	0	0	0	0	0.0002923837069961	0	0.0003187260982598	0	0.0001877214402465	0	0.0001635910271629	0	0.0016862084872641	0	0	0	0.0002899981843378	0.0003206613780771	0	0	0.0003177161595937	0	0	0.0001847539144723	0	0	0	0	0.0002713117227937	0	0	0	0	0	0	0.0020686069225117	0	0	0.000183720539133	0	0.0003039783041555	0	0	0	0	0	0	0	0	0	0	0	0.0004255240780228	0	0	0	0	0.000367407454959	0	0	0	0	0	0.0004222030128427	0.0003923850502648	0.0004895392028129	0.000316977237522	0	0
msp_0010;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides fragilis	0	0	0	0.0030291113927389	0	0	0	0.0009657595589274	0.0002974849973814	0	0	0	0	0	0	0	0.0001774248079924	0.0002221586026021	0	0.0005812091006776	0.0134250671254648	0	0.0009908172051556	0	0.0002906296395861	0.0018301277220983	0.0010204389731723	0.0002679960481339	0	0.0003041231522838	0	0.0101299288619656	0	0	0.003206150942428	0.0001609654832909	0	0	0.014613894536758	0	0	0	0.0002099519434103	0.0005357622836124	0.0001988250007704	0.0002889884911787	0	0.0007391050009352	0	0.0007587430247617	0	0	0.0013705972201952	0.0002666405910681	0.000347888960506	0.0061029955849685	0.0002809552679263	0	0	0.0004156484143804	0	0.0014959967851264	0	0.0029460839821616	0	0.0001793122244455	0	0	0.0007047459500516	0	0	0	0.0004075189674393	0.0004360071570602	0.0011154037198191	0.0053998019407724	0	0.0002377145321367	0.0010743578959138	0	0	0.0011575011147015	0	0.0019517618488168	0.0031067562257491	0.0012429605720605	0	0.0001854789196885	0	0	0.0004762443195406	0.000354023286152	0.0010954097700812	0	0	0	0.0002095026723309	0	0.000158143046109	9.98221905008301e-05	0	0.0003788165785095	0.0056745899941273	0	0.0246647941432452	0	0	0	0.0059178814146298	0	0.0003181997419402	0.020315589604573	0.0002909897576627	0	0	0.0002396106695298	0.0020783161628013	0	0.0007956278636049	0.0003386937951971	0	0.0003668914143363	0.0011972844026212	0.0001704039233379	0	0	0.000148628926736	0.0533671366383326	0.0030526307012527	0.0002955687407779	0.0001874485751714	0.0013596540041831	0	0	0	0	0	0	0.0001269073810091	0.0011986095368131	0.0001670710145097	0.0001712132742702	0	0.0085666032584346	0.0003285151470066	0.0019748718229382	0.0003408355757116	0	0	0	0.010291862740461	0	0.0001212480859333	0.0149541640299017	0.0002139873459824	0.0001513680175528	0	0.000162019631574	0	0	0	0	0	0	0	0.0035995771011898	0	0.000913173382362	0.0005959828931402	0.0004401158780849	0	0.0033200459986366	0	0	0.0001807954089512	0.010218761539776	0.0001735642510765	0	0.0002202724289807	0	0	0	0.0009089697768417	0
