msp_name	SAMN37671262	SAMN37671310	SAMN37671313	SAMN37671314	SAMN37671317	SAMN37671321	SAMN37671322	SAMN37671326	SAMN37671328	SAMN37671331	SAMN37671334	SAMN37671335	SAMN37671336	SAMN37671337	SAMN37671338	SAMN37671340	SAMN37671341	SAMN37671343	SAMN37671344	SAMN37671345	SAMN37671347	SAMN37671350	SAMN37671351	SAMN37671352	SAMN37671355	SAMN37671358	SAMN37671361	SAMN37671364	SAMN37671365	SAMN37671368	SAMN37671373	SAMN37671375	SAMN37671377	SAMN37671379	SAMN37671381	SAMN37671382	SAMN37671383	SAMN37671384	SAMN37671387	SAMN37671388	SAMN37671390	SAMN37671391	SAMN37671392	SAMN37671393	SAMN37671394	SAMN37671396	SAMN37671397	SAMN37671398	SAMN37671399	SAMN37671400	SAMN37671401	SAMN37671402	SAMN37671407	SAMN37671409	SAMN37671411	SAMN37671413	SAMN37671415	SAMN37671417	SAMN37671419	SAMN37671422	SAMN37671423	SAMN37671425	SAMN37671427	SAMN37671428	SAMN37671431	SAMN37671432	SAMN37671434	SAMN37671436	SAMN37671439	SAMN37671440	SAMN37671442	SAMN37671446	SAMN37671453	SAMN37671455	SAMN37671457	SAMN37671458	SAMN37671461	SAMN37671467	SAMN37671476	SAMN37671483	SAMN37671494	SAMN37671515	SAMN37671517	SAMN37671520	SAMN37671523	SAMN37671536	SAMN37671549	SAMN37671555	SAMN37671557	SAMN37671565	SAMN37671570	SAMN37671571	SAMN37671593	SAMN37671594	SAMN37671604	SAMN37671605	SAMN37671606	SAMN37671607	SAMN37671619	SAMN37671623	SAMN37671738	SAMN37671739	SAMN37671740	SAMN37671742	SAMN37671743	SAMN37671744	SAMN37671746	SAMN37671749	SAMN37671751	SAMN37671755	SAMN37671757	SAMN37671263	SAMN37671309	SAMN37671311	SAMN37671312	SAMN37671315	SAMN37671316	SAMN37671318	SAMN37671319	SAMN37671320	SAMN37671323	SAMN37671324	SAMN37671325	SAMN37671327	SAMN37671329	SAMN37671330	SAMN37671332	SAMN37671333	SAMN37671339	SAMN37671342	SAMN37671346	SAMN37671348	SAMN37671349	SAMN37671353	SAMN37671354	SAMN37671356	SAMN37671357	SAMN37671359	SAMN37671360	SAMN37671362	SAMN37671363	SAMN37671366	SAMN37671367	SAMN37671370	SAMN37671371	SAMN37671372	SAMN37671374	SAMN37671376	SAMN37671380	SAMN37671385	SAMN37671386	SAMN37671389	SAMN37671403	SAMN37671404	SAMN37671405	SAMN37671406	SAMN37671408	SAMN37671410	SAMN37671412	SAMN37671414	SAMN37671416	SAMN37671418	SAMN37671421	SAMN37671424	SAMN37671426	SAMN37671433	SAMN37671435	SAMN37671437	SAMN37671441	SAMN37671443	SAMN37671444	SAMN37671445	SAMN37671447	SAMN37671448	SAMN37671449	SAMN37671450	SAMN37671454	SAMN37671456	SAMN37671459	SAMN37671460	SAMN37671462	SAMN37671463	SAMN37671468	SAMN37671469	SAMN37671470	SAMN37671471	SAMN37671472	SAMN37671475	SAMN37671478	SAMN37671480	SAMN37671481	SAMN37671482	SAMN37671484	SAMN37671485	SAMN37671502	SAMN37671508	SAMN37671514	SAMN37671527	SAMN37671528	SAMN37671539	SAMN37671548	SAMN37671550	SAMN37671552	SAMN37671556	SAMN37671559	SAMN37671560	SAMN37671561	SAMN37671562	SAMN37671566	SAMN37671569	SAMN37671576	SAMN37671585	SAMN37671587	SAMN37671598	SAMN37671601	SAMN37671602	SAMN37671603	SAMN37671609	SAMN37671615	SAMN37671629	SAMN37671741	SAMN37671745	SAMN37671748	SAMN37671750	SAMN37671752	SAMN37671753	SAMN37671754	SAMN37671759	SAMN37671760
msp_0001	0	0	0	0	0.00273096019252275	0	0	0	0.00110219697244308	0	0	0	0	0	0	0.000737987973543092	0	0	0	0	0	0	0	0	0	0.00266288955505894	0	0	0	0	0	0	0	0	0.00276449964678501	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00271338164093804	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0011245180600903	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000308895499561701	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00060690771497698	0	0	0	0	0	0	0	0	0	0	0	0.00104081064482169	0	0	0	0	0	0	0	0	0.0036371679320892	0.000139062777113555	0	0	0	0.00303744351361865	0	0	0	0	0	0	0	0
msp_0002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00141476869463983	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00192043531699616	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
msp_0003	0.0104017665773891	0	0	0.0100182054121139	0.00178198288906841	0.0100328093492541	0.000607575097599408	0.00283656773822687	0.00515690149999485	0.00946343810013752	4.29370860706085e-05	0	5.18401684344449e-05	0.121742864533619	0.021420502850886	0.000170285746605127	0	0.0243900852256092	0	0.000640401602248281	0	0.000151585796113645	0	0.00154973301926489	0.00183647360133481	0	0.0300353986048902	0.0195038217289361	9.7075088195478e-06	0.0346958711735179	0	9.05690133023905e-05	0.00727199612642606	0	0.000626253562000016	0.0236424196339027	0	0	0	0.0048450447841567	0.000702456219659087	0	0	0	0	0.132070511548644	0	0	0.0141834125515763	0	0.00348431812290293	0.0201879798146921	0.0377109793381049	0.0317751974368475	0	0.00410961409338016	0	0	0	9.55877653334432e-05	0.0121574689968702	0.00993171841790493	0	0.001630154895691	0.0449286562662118	0.00613807685746942	0	0.00160740820107307	0.00464062048277686	0.00122881019253165	0.000501847851744667	0	0	0	0	3.46549139712646e-05	0	0.0478342276982086	6.63559470406794e-05	0.00184386845699606	1.39017119017323e-05	0.0117865745530043	0.00033375828648727	0.0118214811167321	0.00120705119137205	0.0161373890884842	6.42945023686729e-05	0.0281455746136571	0	0	0	0	0.000881134084434846	0	0.0411656616025635	0.0157098879199869	0	0	0.000100630030101557	0	0.00387410367278875	0.000690254981947257	0.00680077599646123	0	0	0	0	0.0719576137519084	0.0419552600532893	0.00659029917342342	0.0549915389233943	0	0.00496306591710664	1.63610443538115e-05	0	0.031772400989699	0	0.00518128210172282	0	0.00550098387406075	0	0	0	0	0.0213863037692716	0	0	0.000472551875069447	0	0.0154356295691735	0.129615439956076	0.0027771400720121	0.000902447828775829	4.28541506610941e-05	0	0	0.00019945687109206	0	0.000791923606599487	0	0.0269864877844062	0.00967492122532615	0.000312441113701492	0.00344467180983587	0.000306771285129399	0.00159992120956611	0	0	0.0111064735476313	0.0453065654561286	0.022781100704554	0.0261581265902774	1.0648124898262e-05	0.00227702057952276	0	0	0.0128993358824607	0	0.0002322615609407	0.0011547422767387	2.87888316755112e-05	0	0	0	0	0.000178058077351218	0	0	0	0.0121000918492706	0.000819955089922242	0.00914222897299737	0	0	0.0118829410516047	0.124719602141162	0	0.00671634796052838	0	0.00683555220574912	0.0012433705982243	0	0	0.0307472573771186	0	1.11337539449312e-05	0.00733271763628289	0.0251608804766792	0.0361932183037966	0.000293007015163338	0.000119567367779198	1.95300602767266e-05	0	0	6.26249854680395e-05	0.00641962462102858	0.00183928279681871	0.00301370053605735	0	0.00485158918147462	0	0	0.00351332400282258	0	0	4.06565294482793e-05	0.0290567161302189	0	0	0.0374613234360771	0.00327327778822039	0.0186732660708334	0.000211522381103703	0	0	0.0100735793579287	0.00202514174642036	0.000434848192723048	2.07174838213288e-05	0	0	0.0128365191567502	0.00986754458056771	0.00246197329473889	0.00292164291909488	0.103760907559421	0	0	0
msp_0004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000877462327298301	0	0.000640980448469491	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00297049105488161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.53874241933147e-05	0	0	0.000135628298740242	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
msp_0005	0.0130833056648483	0.0110684898656342	0	0.00125016088883714	0.000187516360127019	0.0191772639385181	0.000563138019979354	0.000272220029248204	0.0331855195742779	0.000638894817060532	0.00667077366360428	0.0370562865735705	0.000330575696964502	5.49940203732021e-05	0	7.24040788007539e-05	0.000185608683454493	0.0145442311910744	0.000373394345096132	0.0198890100019919	0.0022575759050772	0.0490096575059804	0.154515605834809	2.68972554894407e-05	0.00508685322668422	0.00218263901043356	8.53751949856717e-05	0.00270871761457361	0.0144034105427275	0.00308816291085232	0.000482634486419752	0.0196117486032581	0.00234851188974206	4.42355497332133e-05	0.000518550500866733	0.0329786955331484	0.00441981268155153	0.000247674269516786	0.00864803214856218	0.00275265114393558	0.00775812466308217	0.00645021459948971	0.0236365950237007	0.00410732058928244	0.0001608373224049	0.0601502712532706	0.000199024248600886	0.000156011207484134	0.000856699976386912	0.00104582101446373	0.0021770102055322	2.69038921307158e-05	0.0201925435674532	0.00015041079635015	6.78404990191602e-05	0.00423584326729884	0.00969907481514813	0.00076021865054048	0.000167118259271266	0.0386628823164201	3.87910722579349e-05	0.00418572367481324	0.000223110797743837	0.019999218671829	0.0028119465002904	0.00115141191411194	0.00130926723948707	0.000166562146275515	6.06694297103991e-05	0.00118375877565723	0.00161285256128797	0.000288627977986911	0.00697387061977058	0.0194045477004705	0.0806662236453835	0.00211307651017134	0.000242072645535085	0.0043942441666877	0.000457534271828094	0.016396383687535	0.0027181153618854	0.0273131343202648	0.0364505746608557	0.00759983012641499	0.000650121749545276	0.000473642231006757	0	0.00106265128883063	0.000643570331132838	0.00184170596134659	0.016182991433487	0.00479959364071562	0.000615149001437946	0.00972674900162137	0	0.298287437117462	0	0.000679171854509531	0.00339551806102452	0.00381513885445966	0.000206207906781743	0.000124376179885479	0.0093374911797456	0	0	2.48623540138691e-05	0.0978239153118475	2.98275726519082e-05	0.0784008263044554	0.000463474780958172	0.00269285859972197	0.0260459013374359	0.0417438810933384	0.0155608982078973	0.00634060708768825	0.0242262768921158	0.000405147963623972	0.00980922769158067	0.000220323412488954	1.37277233864049e-05	0	0.0141770967534102	0.000144612030832028	0	0.00653157285041924	0.0277658514330137	0.00217478010620828	0.000117598042744874	0.00126090342374139	3.52101034098388e-05	0.00182412584334471	0.00367009699709101	0.000145174970139236	0.00360403803975645	0.122847036375896	0.0204450922746658	0.00339139572053248	0.000745485253306633	0.000559099649741401	0.00114606369158917	0.00213805642593213	2.45256115720045e-05	0.182018644638779	0.00847224094464712	0.000189569111811531	0.000143402821572243	0.0120961895258418	8.28073538295978e-05	0.0389867362524143	0.00070875661455903	0.0316015619436168	0	0.0031926392915426	0.150910358133736	0.131414654733018	0.00125938976737712	0.000344797958986024	0.000515751656396067	0.000861794535621983	0.000493919531830521	0.000621020874669605	9.91289130871944e-05	4.13538411424584e-05	4.09727436782627e-05	6.49127789010719e-05	0.000652837454271627	0.000758218695290444	0.00100368538965378	0.00026206160716104	0.000833508432447744	2.38626127077929e-05	0.00340237981246708	0.00459863109877822	5.51134730722721e-05	0.000262086797029968	4.15639715214017e-05	0.0312072251493565	0.000178560551614996	0.000173097104415366	6.98288013281087e-05	0.00123559107337603	4.69368194689914e-05	0.103796779099784	0.000499050406375082	0.000129076222443075	2.30240156892548e-05	0.000113674281471365	5.28512886415877e-05	0.00151800931639066	5.17415216241858e-05	2.85400918878958e-05	0.0217943529478577	0.000161773266872099	5.50249027018351e-05	0.00198066563017392	0.00176806386324253	0.000442808898795809	0.0365584479552669	0	0.00126111934557778	0.000719330642155781	0.0125452327122796	0.00273019790219055	0	0.000117238190882076	0	0.000583873808408572	0.000274976934372596	0	0.0038884528152972	3.88163341361926e-05	7.82559521323556e-05	0.0384498699558047	0.105225295862321	0	0.000548860094360384	0.010381750725863	0	7.31987632426174e-05	1.66975781706166e-05	0.00452661465832226	0.000517839063765233	5.9521645845689e-05	0.102052686017451	0.000155295094207865	2.6806114132775e-05	0.00148136960305987	5.55073472844983e-05	0.000345753127869847
msp_0006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00030251202194957	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00168076467308239	0	0	4.10785523827208e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.07362177313018e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00219258286234811	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000316953000173884	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00792358157987808	0	0	0	0	0	0	0	0	0	0.000105551886490634	0	0	0	0	0	0	0	0	0	0.00334860409228305	0	8.12820627380561e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00337375139186451	0
msp_0007	0.0121454942026051	0.481977190081305	0.00361126902877116	0.00674449033618954	0.0263609075261989	0	0.00062983560664757	0.000115493117983938	0	6.71802767121366e-05	3.19116851717237e-05	0	0.00482788217856052	0.0361542954262715	0	0.000358937374215591	0	0.0284949471957065	0.00149172866557823	0.000376813888206395	0.0472625994065039	0.000287879931988074	0.00305498756719126	0.000306966955910304	0.000231550882822966	0	0.00325649983053229	0.00245416368397548	6.02218713863984e-05	0.0253521603450582	0.000346620761851652	0.000192343790155056	0.000529213133604444	0.0593828359732497	0	0.0260827658680239	0.000127496794450543	0	0	0.00140691280108976	0	0	0	5.28688390838955e-05	0.0466711621431161	0	0.00184540785743677	0	0.00141664975402409	0.00357805906442703	0.000176539812174112	0.0232197630536816	0.0231668194443776	0.0133696029041869	0.0106432254836449	0.00723660916618463	0.00446475058495326	0	0.000547773744556698	0	0.000781158645615532	0	0.000136758389680743	4.08405850580367e-05	0.0024277510420597	0.0298811095561016	0.00101612798366754	0.00285613320548763	0.00886434425030311	0.000201535324989051	0.00096382080867189	0.0328678299286454	0	0.00121780524097178	0.00436005139824938	0	0	0.00255285542265189	0.000627550443614378	0	0.000266296001470952	0.00117368853030761	0.000177611447157586	0.0425158277507317	0	5.99510318907515e-05	0.00207706823831083	0.00238344413822447	0	0.00807701128966478	0	0.0735116154876094	0.000227436863127945	0.0252562733145158	0.00366697536513192	0.0150571787404592	0.0396981634798422	0.127921066637726	0.000158930971520774	0	0.00207562520274391	0.000198025263704182	0.0041991358735463	0.000140468436839637	0.0209381319286792	0.016575022787433	0.00782225924669927	0.000330544224085293	0	0.0147022273646718	0	0.00222769421188291	0.00371367542980912	0	0	7.13958455790956e-05	0.00387805391669066	0.00140496875846956	0.0611009417893567	0.028905696029578	0	0.26759057589597	0.0458406221373217	0.00275915939766096	0.00500437995936513	0	0.0462437064274985	0.00261564522934442	0	0	0.0723136830003213	0.137532765286892	0.00107065191444458	0.00292211705664554	0.00179446389096568	0	0.000710758267746498	0.00318502622641029	0.00261608079621626	8.87549329089576e-05	0.00678806790795629	0.00270072635194789	0.000703023741616009	0.00488417450904789	0.0307059459542349	0.000202339415008278	0.016426029251637	0.00194861674951033	0.0443419712376659	0	0.000681659619497249	0.00348173762663915	0.000677074785061317	0.00254415497105145	0.000453696603795382	5.10871490519119e-05	0.00986216555075315	0.0133778637540082	0.00562791651344756	0.00130660108218506	5.75271865869632e-05	0.0100418305311847	0	0	0	0.00149667109438427	0.0113352232094434	0.0260664677466767	0.012340070260342	0.00246927705572587	0.000421153569802501	0.00435778625041495	0.00171852662842313	0	0	0	5.60173561094826e-05	0.00450025270412282	0.00219742228100131	0	0.0110479474970406	0	0.00596394157568761	0.00126198190670034	0.000181132333221513	0.000798459713033078	0.000380866351590924	0.00107184090669154	0.0148609193320143	0.000175350467923194	0.00283755068654428	2.55581548060813e-05	0.00661893911583995	0.00016149462672435	0.00192445510681924	0	0.00557153817251504	0	0.00202734662562039	0.00333015622429807	0	0.000188340211611034	0.000647548923326357	0.0425430083558382	0	0.000330245881999895	0.00642776491908596	0.00448300989123155	0	0.00256856476362461	0.00232553779540814	0.0354667752373772	0.000105866372141318	0	0.0284098690101558	0.00575986763514823	0.00282110353683106	0.00849010078505667	0.000398374535340653	0.00224833799801152	0.00297035789816828	0.00115457276843552	0.00161584854289322	0	0.000573360704649653	0.0169901133599483	0	0.021382242416977	0
msp_0008	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00271736498802178	0.00146269392981821	0	0	0	0.000594707989735694	0	0.000473111001966591	0	0	0	0	3.8279565801745e-05	0	0	0	0	0	0.00298398833296373	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000421482507835658	0	0	0	0	0.000460850453945865	0	0	0.00153726421154619	0	0	0	0	0	0	0	0	0.00023515425847908	0	0.0165234756431101	0	0	0	0	0	0	0	0	0.000265141836475772	0	0	0	0	0	0	0	0	0	0	0	0.000858834213627184	0	0	0	0	0.00381794646450843	0	0	2.36455383556054e-05	0.00182310101955168	0.000269361014442659	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000267352565164706	0	0	0	0.000138783878182858	0	0	0	0	0	0	0	0	0	0	0.000283783125146309	0	0	0.000139739598782815	0	0.00382233694824003	0	0	0	0	0	0	0	0	0.00216180983687435	0	0	0	0	0	0.00402429359703158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.92951926051336e-05	0.0175884726826858	0	0.000357418235281161	0	0	0	0	0	0.000874211078715603	0	0	0.0037994974584427	1.65826368499189e-05	0.0294422233086059	0	0	0	5.87198892679083e-05	0	0	0	0	0.078804898129012	0	0	0	0	0	0	0	0	0	0	0	0	0.00103906727626122	0	0	7.90281270775968e-05	0	0	0	0	0.00458104793017243	4.60771122781423e-05	0	0	0
msp_0009	5.6002138344708e-05	0.0074764826139559	0.000492813386697112	5.63650361800442e-05	8.71744374350933e-05	0.00097015994148883	0.000447000319851758	0.000179356236847693	0.000578338699219535	9.84183414612795e-05	0.000299495596757883	0.000170876210755944	7.51726550847201e-05	0	0.00239269200254803	3.27815314967201e-05	0	0.000552933937375546	5.29188176613397e-05	0.0194359908665617	0.0465061258045549	1.24602976613627e-05	0.0102633116023704	1.32819300135499e-05	0.000253695522065111	0.000731138791334559	0.00407182338756146	0.00142568937166551	0.00413078287261313	0.00105093896083917	0.00116932809242392	0.000247609791190226	0.000149651537417266	0.00191741753852842	0	0.00704927266229807	0	0.00401387732625668	0.111645281309717	7.12474026015797e-05	3.63780358182384e-05	0.000197509517496157	9.69364197149826e-05	0.000547531294897505	0.0033532256092486	0.0126070402313007	1.737515179098e-05	0.00260850657471181	0	0.000237197670072891	0.000204306699432695	0.000122534719102147	0.00797770156048508	9.00979583779771e-05	0.000239796320502455	0	6.6345146784962e-05	0.000240115981664529	0.00331256621148619	8.60358658518601e-05	4.75086060466733e-05	0.00276763656359681	3.70618144150405e-05	0.000467481280883192	0.00103867498264689	0	7.24539389477128e-05	0.00051005521854003	0.00192623847343273	5.65322161756245e-05	6.56643422027739e-05	0.00253350751480129	0.00167326281959287	0.000201197870874507	0.000305661145642872	0.00167488546114511	0.00136657483435719	0.000461846672604626	0.000146189615820598	0.000183389638982952	5.12025009148122e-05	0.000138627295298224	0	0.0286813814888285	8.57366992260252e-05	0.00738412944426154	0.0225253606769073	0.00183843275483575	5.12601952556652e-05	0.000188967939955539	0.00457976975450659	0.00173655448358017	0	0.0121718567103228	0.00221855845110749	0.00107421950885014	0.00131965825267255	0.000922539899757953	0.0128275851544059	0.0004472676913762	0	0.000171707575814397	0.00170576641691633	0.0112436156226087	0.000292781072501784	0.000410236164938284	0.00917185903955195	0.00061469397823208	0.0129069435129015	0.0204321794818662	0.00589535774176164	0	0.000193800685086139	0.00252211306250854	0.00585544489750514	0.00584100610216198	2.9075147106156e-05	0.00209266594878896	0.000709898585527442	0.00055300168046103	0.0720333559039703	0.00878416954487985	0.00343646048603651	0	0.00127910848334676	0.00117733752038147	0.000617955664668222	7.20128481162684e-05	8.76519170570082e-05	0.00474127922640516	0.016767668392143	0.00203883015004808	7.36516157715726e-05	7.24419495350674e-05	0.000119005529048468	0	8.39498095587699e-05	0.00171451249524324	0.00104527111698638	0.000100087567479438	0.000580017541971927	5.96773666486005e-05	0.00010740875231208	0.000551380246905886	0.000867829493633732	7.66804141094556e-05	0.00334028768802566	0.0462023608887626	0.00495531754268642	0.0338483997090038	0.00105251432851668	2.08036501119004e-05	5.57636663816423e-05	0.00014529907950409	5.3505962577203e-05	0	0.00236319880944558	0.000256779195678939	0.00116194212446299	0.000243189910945824	0.000678141265875846	0.0257024963825561	0	0.00044553488509487	2.38813116382401e-05	0.00334236964265592	0.000174220392673054	0.00028772845903273	0.000177740537373969	4.92513086456168e-05	0.000127478686561508	9.21842829287188e-05	4.1281392405354e-05	0.000450071231823293	4.53435552474268e-05	0.00398456458973731	0	0.00137782672314546	0	0.000395722797890307	0.000927614073504527	0.000837450595852934	5.17335620417846e-05	0.000218735728092471	2.58268164210835e-05	1.82538223465344e-05	0	0.000687779332232315	0.0236902786030011	0.000177001848445185	0.00154191668599889	2.99364534062907e-05	0.000275425008746117	0.000379706662023471	0.00077608040180729	0.00203966171031935	1.4997900270055e-05	0	0.000319916609967148	0.000220130740579804	0	8.38779332254411e-05	0	0.000356047088600236	5.84723040864636e-05	0.000174786861233038	0.000109331558891404	5.84469469264462e-05	0.00348220180574321	6.47223768241201e-05	4.37244552535938e-05	0.000431719537371391	0	5.36358286414754e-05	0.00218100603567635	0.000483338149388293	0	0.00128920635233702	0	0	0	3.50915862187263e-05	2.17864826177737e-05	0.000354892487433705	0	0.00142841752010528	0.00434809785657534	0.000516820378104108	0.00177661463956235
msp_0010	0	0	0.00193269288696903	0	0.00609244665097253	0	0.00139424449600785	0	0	4.4376698439652e-05	1.19419396018786e-05	0	3.03314408815058e-05	0	0	0.000307631324562539	0	0.00847517367018103	0	0.000310581942940806	0	0.000241587522385698	0.0017001589051085	9.50413179817684e-05	0.00688458012200267	0	0.0138892771147844	0.0268040191935055	2.23938256046451e-05	0.0295562895242442	0.0174454563004542	0.00166643180787623	0	5.92031921818125e-05	0	0	0.000487784137349216	0.0279696023497155	0	0.00538898303789546	0.00563641715162234	1.36984914547242e-05	0.0248981808797279	0.0045274233562544	0.00460936620235773	0	0	0	0	0	0	0.00133567973918546	0.0637318076477088	1.39107372015168e-05	0.0148407472634507	0.00132613419216104	0.00387190006762945	0	0	0.00883018850219457	0	0	0	2.12397102436251e-05	5.20863140311719e-05	2.20250346305485e-05	0	0.0185799710726813	0.0163998832578498	0	0	0	2.61408113386456e-05	0.00598527646047437	0.00153884296585761	1.40397044133042e-05	0	0.000420053466738314	0	0.00298145050407081	7.18592815151848e-05	3.17699749814019e-05	0.00172577165063741	0	0	0.000815904150679674	0.000447190883076781	0	0	0.000455832967270109	0	0.00197003340222698	0.00138791287616561	0.0119442873836422	0.0368101253840672	0.00445405214825888	0.0147235284496324	0	0.00586218795093561	0	0.00069995001459025	0.0015706725079573	0.0114119963410311	0.00506706609741879	0	0.00535871210830366	0.0152871581105572	0	0.0140981242342579	3.25216655999955e-05	0	0	0.00013010579906742	0	0.00779213198143679	0.000189138889372018	0	0	0.0277409626562334	0.0052884622596679	0	0	0.00994747507436268	0	0	0.00104862034509228	0.0548116555641481	0	0.00779707970605862	0.0135119661195976	0	0.0376981705548444	0.000475224731442569	0.00399420567082581	0.12213455867654	0	4.76165428190845e-05	0	0	0	0.00193800445774079	0	0.00298303784019453	0	0.0164963485432578	0.000405323321944545	0	0.000157734810156012	0.00519492442068351	0.0217154071034129	4.98588993542781e-05	0.000314181405417727	0	0	0	0	0.0122320312099327	0.00310781776534442	0.0102725904766824	0.00325322019719635	0	0.00796257425664826	0	0.0171169366500322	0	0.000197020055851255	0.00721531834986764	0.00315115151863732	0.000824846660972285	0.000352241091359538	3.69336779874757e-05	0.00412533679510014	1.70622539966743e-05	0.0021133831289142	0.0205265499629586	0.0514481059068875	0	0.00691385441028298	0.00427085026177765	0.000125145673420018	0	0	5.81785632755905e-05	0.000159465227338137	0	0	0	0.00500614444998321	0.0137658515066119	0	0	0.00888454763428329	0	0	3.93494307102842e-05	0.000156316394000636	0.0137354728112683	0	0	0	0	0.000766797453173285	0	0	0.00421106652265878	0	0	0	0	0.0108809640868043	0	0.0116073597351715	0.00433786326338366	2.61745644332617e-05	0	0.000325931527866012	0.000689898282569065	1.05425081444468e-05	0	0	0.000113077889155136	0.00365434713012125	0.00794924311009215	0	0.00135635220386649	0.000992812870946467	0.00382818639111157	0.00981260277076647	0
